ID;NL description;FRETish;LTL
REQ001;Allow failure simulations between nucleo/jetson and nucleo/nucleo;in SimulationMode whenever SimulateFailureTransitions System shall eventually satisfy JetsonFailureTransitionToNucleo | NucleoFailureSwitchActiveNucleo;(H (((JetsonFailureDetectionRunning & NucleoOneFailureDetectionRunning) & NucleoTwoFailureDetectionRunning) & RaspberryFailureDetectionRunning))
REQ002;Be able to predict hardware failures;System shall always satisfy JetsonFailureDetectionRunning & ActiveNucleoFailureDetectionRunning & RaspberryFailureDetectionRunning;(H (((JetsonFailureDetectionRunning & NucleoOneFailureDetectionRunning) & NucleoTwoFailureDetectionRunning) & RaspberryFailureDetectionRunning))
REQ003;Simulate Packet Loss;in SimulationMode whenever SimulatePacketLoss System shall always satisfy PacketLossRate <= AcceptablePacketLoss;((H (((! SimulationMode) & (Y SimulationMode)) -> (Y ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode)))))))
REQ004;"Show which nucleo is under control;";upon ControlLoopStartRaspberry shall before ControlLoopFinish satisfy (NucleoOneControl => SendNucleoOneControlMessage) & (NucleoTwoControl => SendNucleoTwoControlMessage);(H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((NucleoOneControl -> SendNucleoOneControlMessage) & (NucleoTwoControl -> SendNucleoTwoControlMessage))) S ((! ((NucleoOneControl -> SendNucleoOneControlMessage) & (NucleoTwoControl -> SendNucleoTwoControlMessage))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
REQ005;Health monitoring of electric embedded systems;System shall always satisfy ElectricSystemsHealthMonitoring;(H ElectricSystemsHealthMonitoring)
REQ006;Servo, Battery and Attitude simulations and monitoring;while SimulationMode | RealMode ActiveNucleo shall always satisfy ServoMonitoring & BatteryMonitoring & AttitudeMonitoring;(H ((SimulationMode | RealMode) -> ((ServoMonitoring & BatteryMonitoring) & AttitudeMonitoring)))
REQ007;Determination of the overall health of the system;System shall always satisfy OverallSystemHealthMonitoring;(O OverallSystemHealthMonitoring)
REQ008;Save any desired simulation data;after SimulationMode System shall within 10 milliseconds satisfy SimulationDataSaved;((O (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))) -> ((((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) -> (O[0,9] (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) S ((((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) -> (O[0,9] (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))))
REQ009;Controller Performance evaluation;after SimulationModewhen SimulationDataSaved System shall satisfy EvaluateControllerPerformance;((O (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))) -> (((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) | (! ((! EvaluateControllerPerformance) S ((! EvaluateControllerPerformance) & (SimulationDataSaved & ((Y (! SimulationDataSaved)) | (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))))))))
REQ010;Measure nucleo control transitions;in SimulationModewhen NucleoOneControl | NucleoTwoControl System shall at the next timepoint satisfy MeasureControlTransition;((H (((! SimulationMode) & (Y SimulationMode)) -> (Y (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) S (((Y ((NucleoOneControl | NucleoTwoControl) & ((Y (! (NucleoOneControl | NucleoTwoControl))) | (SimulationMode & (Z (! SimulationMode)))))) -> (MeasureControlTransition | (SimulationMode & (Z (! SimulationMode))))) & (SimulationMode & (Z (! SimulationMode)))))))
