Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,R1,(H (battery > 0)),H (battery > 0),True
1/1,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
1/1,R1.2,(H (recharge -> (goal = chargePosition))),H ((recharge → goal = chargePosition)),True
0/1,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (pre_battery * 0.05)),False
0/1,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H (((battery < chargeNeeded_var + (chargeNeeded_var * 0.05)) → recharge)),False
0/1,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H (((O (currentPosition = chargePosition)) → (¬(currentPosition ≠ chargePosition) S ¬batteryFull))),False
0/1,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
1/1,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
1/1,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
1/1,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
1/1,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/1,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
1/1,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/1,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H ((atGoal → removeGoalFromSet)),False
0/1,R3.5,(H (atGoal -> (currentPosition = goal))),H ((atGoal ↔ (currentPosition = goal))),False
2/2,R1,(H (battery > 0)),H (battery > 0),True
2/2,R1.1,(H (chargePosition = x)),H (x = chargePosition),True
2/2,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/2,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/2,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/2,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S ¬batteryFull),False
0/2,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1/n)),False
2/2,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
2/2,R2.1,(H (initialPosition = y)),H (y = initialPosition),True
2/2,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
2/2,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
1/2,R2.2.2,(H (! (currentPosition != obstacle))),H (currentPosition ≠ obstacle),True
2/2,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/2,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (removeGoalFromSet ↔ atGoal),False
1/2,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
3/3,R1,(H (battery > 0)),H (battery > 0),True
3/3,R1.1,(H (chargePosition = x)),H (x = chargePosition),True
3/3,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/3,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/3,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < (chargeNeeded_var + 0.05 * chargeNeeded_var)) → recharge),False
0/3,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((O (currentPosition = chargePosition)) → (currentPosition = chargePosition S ¬batteryFull)),False
0/3,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1/n)),False
3/3,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
3/3,R2.1,(H (initialPosition = y)),H (y = initialPosition),True
3/3,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
3/3,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
1/3,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
3/3,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
