Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,The system shall ensure that since the last moment when variable_1 was at least zero whenever that condition held true it has always been the case that if variable_3 becomes active then variable_2 shall not exceed variable_5. For example in the aircraft control module this means that from the time the engine temperature variable_1 first reached a nonnegative value the control software must constantly enforce that whenever variable_3 indicates a climb command the thrust demand variable_2 remains less than or equal to the safety limit variable_5.,(variable_3 → (variable_2 ≤ variable_5)) S (O (variable_1 ≥ 0)),H( (variable_1 >= 0) -> H( variable_3 -> (variable_2 <= variable_5) ) ) S (variable_1 >= 0),True
2/2,Whenever variable_3 is active the system shall ensure that variable_2 has always remained less than or equal to variable_5 at every moment in the past. For example in an automated factory this means that if variable_3 indicates a safety override then variable_2 representing machine pressure must never have exceeded variable_5 which sets the permitted pressure limit.,(variable_3 → H(variable_2 ≤ variable_5)),variable_3 -> H(variable_2 <= variable_5),True
3/3,Whenever variable_3 becomes true the system shall ensure that variable_2 has always remained less than or equal to variable_5 in all previous operational states of the autonomous vehicle to confirm consistent speed control history.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
4/4,Whenever variable_3 becomes true the system shall ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation history. For instance in an autonomous ground vehicle if variable_3 signals an emergency brake command the control unit must confirm that variable_2 which may represent wheel speed has never exceeded variable_5 which may represent permitted safe speed at any previous moment.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
5/5,Whenever variable_3 becomes true the system shall ensure that variable_2 has always remained less than or equal to variable_5 at all times in the past. For instance in an autonomous aircraft control system this means that if variable_3 indicates an engine thrust adjustment command then variable_2 representing engine temperature must never have exceeded variable_5 representing the safe thermal threshold prior to that command.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
6/6,Whenever variable_3 becomes true the system must ensure that variable_2 has always remained less than or equal to variable_5 throughout its past operation. For example in an autonomous drone this means that whenever variable_3 indicates a stability check the recorded altitude variable_2 must never have exceeded the safe altitude limit variable_5 at any point before that moment.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
7/7,Whenever variable_3 becomes true the system shall ensure that variable_2 has always been less than or equal to variable_5 throughout all previous operation periods. For example in a flight control system this means that when variable_3 indicates that a stabilization mode is activated the recorded value of variable_2 such as pitch angle must have never exceeded the allowed limit given by variable_5 at any time before activation.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
8/8,Whenever variable_3 becomes true the system shall ensure that for all past moments variable_6 has always been less than or equal to variable_2. In a fleet control scenario this would mean that when variable_3 is triggered the flight controller must verify that variable_6 representing engine temperature has never exceeded variable_2 representing the allowed temperature threshold at any earlier point in the operation.,(variable_3 → H(variable_6 ≤ variable_2)),(variable_3 → H(variable_6 ≤ variable_2)),True
9/9,At all times in the system operation whenever variable_3 is active the value of variable_2 must be greater than or equal to variable_5. This ensures that the automated process maintains sufficient control margin during every phase of operation.,H( variable_3 -> (variable_2 >= variable_5) ),H (variable_3 -> (variable_2 >= variable_5)),True
10/10,Whenever variable_3 becomes true the system shall ensure that variable_2 has always been less than or equal to variable_5 at all previous moments. For example in the autopilot control logic of an aircraft this requirement means that whenever variable_3 activates the recorded history of variable_2 must confirm it never exceeded variable_5 in the past.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
