Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,The system shall ensure that whenever StandbyMode is active; ventilationOff remains true and ventilationParamsAdjustable remains true at all times. This requirement applies continuously throughout the operation of the medical ventilator.,(H (StandbyMode -> (ventilationOff & ventilationParamsAdjustable))),H (StandbyMode → (ventilationOff ∧ ventilationParamsAdjustable)),True
1/2,Whenever the system transitions from RM being inactive to RM becoming active; the control logic shall ensure that the previous activation of RMButton and the corresponding release sequence are consistent with the expected expirationPhaseStart behavior. Specifically; if RMButton was not pressed and then later pressed or if RM was active while it had previously been inactive; the system shall either initiate expirationPhaseStart when RM is inactive or maintain the condition that RM was previously inactive when RM is active. This relationship shall hold continuously throughout operation so that any change in RM or RMButton state preserves the correct timing and sequencing of expirationPhaseStart. This requirement applies to all historical and ongoing states of the automation system; ensuring that the robot’s mode transitions and button interactions always follow the defined safety and timing constraints.,((H (((! RM) & (Y RM)) -> (Y (((Y ((! RMButton) & ((Y RMButton) | (RM & (Z (! RM)))))) -> (((! RM) & expirationPhaseStart) | (RM & (Z (! RM))))) S (((Y ((! RMButton) & ((Y RMButton) | (RM & (Z (! RM)))))) -> (((! RM) & expirationPhaseStart) | (RM & (Z (! RM))))) & (RM & (Z (! RM)))))))) & (((! ((! RM) & (Y RM))) S ((! ((! RM) & (Y RM))) & (RM & (Z (! RM))))) -> (((Y ((! RMButton) & ((Y RMButton) | (RM & (Z (! RM)))))) -> (((! RM) & expirationPhaseStart) | (RM & (Z (! RM))))) S (((Y ((! RMButton) & ((Y RMButton) | (RM & (Z (! RM)))))) -> (((! RM) & expirationPhaseStart) | (RM & (Z (! RM))))) & (RM & (Z (! RM))))))),H(((¬Y(RM) ∧ RM) → ((O(¬RMButton ∧ RMButton)) → (¬RM → expirationPhaseStart)) ∧ (RM → Y(¬RM)))),False
2/3,Whenever PCVMode is active the system shall ensure that inspiratoryTime equals 60 multiplied by the ratio of ItoE_PCV to the product of RR_PCV and one plus ItoE_PCV. This relationship shall always hold for the ventilator control software to maintain correct timing of the pressure control ventilation cycle.,(H (PCVMode -> (inspiratoryTime = (60 * (ItoE_PCV / (RR_PCV * (1 + ItoE_PCV))))))),H(PCVMode → inspiratoryTime = 60 * (ItoE_PCV / (RR_PCV * (1 + ItoE_PCV)))),True
2/4,When the ventilator is operating in PCVMode or PSVMode and the operator presses the expiratoryPauseButton during the expiratory phase; the system shall initiate an expiratoryPause and shall close both the inValveClose and outValveClose for the duration of the pause. The expiratoryPauseButton shall only have this effect if it is newly pressed after previously being released. Once the expiratoryPauseButton is released; the system shall resume normal expiratory operation and reopen the valves as required. This behavior shall be consistent every time the expiratoryPauseButton is pressed during PCVMode or PSVMode.,((H (((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton))) -> (Y (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) S (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))))) & (((! ((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton)))) S ((! ((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton)))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) -> (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) S (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))))),H(((PCVMode ∨ PSVMode) ∧ expiratoryPhase ∧ expiratoryPauseButton ∧ ¬Y(expiratoryPauseButton)) → (expiratoryPause ∧ inValveClose ∧ outValveClose ∧ ((expiratoryPause S expiratoryPauseButton) → (inValveClose ∧ outValveClose)) ∧ (¬expiratoryPauseButton → ¬expiratoryPause))),False
2/5,Whenever the ventilator transitions into PSVMode from a previous state where PSVMode was not active the system shall ensure that if stopVentilation was recently active and then became inactive or if PSVMode is active following a period when it was not active then the ventilator shall either enter StandbyMode or remain in PSVMode after having previously been inactive. This behavior shall hold continuously throughout operation so that any time the ventilator switches into PSVMode the required response involving stopVentilation StandbyMode and PSVMode occurs in the correct sequence.,((H (((! PSVMode) & (Y PSVMode)) -> (Y (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))))) & (((! ((! PSVMode) & (Y PSVMode))) S ((! ((! PSVMode) & (Y PSVMode))) & (PSVMode & (Z (! PSVMode))))) -> (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) S (((Y (stopVentilation & ((Y (! stopVentilation)) | (PSVMode & (Z (! PSVMode)))))) -> (StandbyMode | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode))))))),H((¬Y(PSVMode) ∧ PSVMode) → (((O(stopVentilation ∧ ¬Y(stopVentilation))) ∨ (PSVMode ∧ O(¬PSVMode))) → (StandbyMode ∨ (PSVMode ∧ O(¬PSVMode))))),False
2/6,Whenever the ventilator switches from PCVMode to another mode; the system must ensure that PSVModeSelected does not become active until PCVMode has been fully exited and all related transitions are complete. If PSVModeSelected is activated; the system must confirmPSVParameters before allowing the ventilator to operate in PSVMode. The requirement guarantees that the ventilator never changes directly from PCVMode to PSVModeSelected without first confirming the PSV parameters and completing the PCVMode shutdown sequence.,((H (((! PCVMode) & (Y PCVMode)) -> (Y (((! PSVModeSelected) S ((! PSVModeSelected) & (PCVMode & (Z (! PCVMode))))) | (! ((! confirmPSVParameters) S ((! confirmPSVParameters) & (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode)))))))))))) & (((! ((! PCVMode) & (Y PCVMode))) S ((! ((! PCVMode) & (Y PCVMode))) & (PCVMode & (Z (! PCVMode))))) -> (((! PSVModeSelected) S ((! PSVModeSelected) & (PCVMode & (Z (! PCVMode))))) | (! ((! confirmPSVParameters) S ((! confirmPSVParameters) & (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode))))))))))),H((Y(PCVMode) & ¬PCVMode) → (¬PSVModeSelected S (confirmPSVParameters & ¬PCVMode))),False
3/7,At all times; if PCVMode is active; then the ventilator shall ensure that it is ventilating and either confirmPSVParameters is active together with PSVMode; or confirmPSVParameters is not active together with PCVMode.,(H (PCVMode -> (((confirmPSVParameters & PSVMode) | (! (confirmPSVParameters & PCVMode))) & ventilating))),H(PCVMode → (ventilating ∧ ((confirmPSVParameters ∧ PSVMode) ∨ (¬confirmPSVParameters ∧ PCVMode)))),True
4/8,At all times; if the system is operating in StartUpMode or in SelfTestMode; then patientConnected must remain false; ensuring that no patient is connected during these modes.,(H ((StartUpMode | SelfTestMode) -> (! patientConnected))),H((StartUpMode ∨ SelfTestMode) → ¬patientConnected),True
4/9,Whenever the aircraft control computer transitions from StartUpMode to normal operation the system shall ensure that checkCommsGUI has been active continuously since the moment StartUpMode was first entered until the transition out of StartUpMode is complete. In other words once the aircraft enters StartUpMode the communication interface checkCommsGUI must remain operational and must not be inactive at any time during the entire startup sequence until StartUpMode ends.,((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! checkCommsGUI) S ((! checkCommsGUI) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! checkCommsGUI) S ((! checkCommsGUI) & (StartUpMode & (Z (! StartUpMode)))))))),H((Y(StartUpMode) & ¬StartUpMode) → (StartUpMode S checkCommsGUI)),False
4/10,The ventilator shall ensure that whenever inspiratoryPhase is active; outValveClose is true; and the following conditions hold:   If PCVMode is active and apnea is not present; then P_insp shall be equal to P_inspPCV.   If PSVMode is active; then P_insp shall be equal to P_inspPSV.   If PCVMode is active and apnea is present; then P_insp shall be equal to P_inspAP.   This behavior shall be maintained at all times during operation.,(H (inspiratoryPhase -> (((outValveClose & ((PCVMode & (! apnea)) -> (P_insp = P_inspPCV))) & (PSVMode -> (P_insp = P_inspPSV))) & ((PCVMode & apnea) -> (P_insp = P_inspAP))))),H((inspiratoryPhase ∧ outValveClose) → (((PCVMode ∧ ¬apnea) → (P_insp = P_inspPCV)) ∧ (PSVMode → (P_insp = P_inspPSV)) ∧ ((PCVMode ∧ apnea) → (P_insp = P_inspAP)))),False
