Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,The system shall at all times ensure that whenever variable_3 is active the value of variable_2 shall be greater than or equal to variable_5. For example in an autonomous drone control unit this means that whenever variable_3 indicates the drone is in steady flight mode the system must maintain variable_2 representing thrust level at least equal to variable_5 which represents the required minimum thrust for stable operation.,H( variable_3 → (variable_2 ≥ variable_5) ),H (variable_3 → (variable_2 ≥ variable_5)),True
2/2,Whenever variable_3 becomes true the system shall ensure that variable_2 has never exceeded variable_5 at any time in the past while the automated process has been running.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
3/3,Whenever variable_3 becomes true the system shall ensure that variable_2 has always been less than or equal to variable_5 in all previous moments of operation. This requirement guarantees that the robot only enters the active state represented by variable_3 if its previous velocity readings variable_2 never exceeded the safety threshold variable_5.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
4/4,Whenever variable_3 becomes true the system must ensure that variable_2 has always remained less than or equal to variable_5 in all previous moments. For example in an autonomous drone this means that if variable_3 indicates the activation of the landing protocol then the drone must confirm that the altitude measurement variable_2 has never exceeded the permitted descent value variable_5 throughout its entire flight history.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
5/5,Whenever variable_3 becomes true it shall always be the case that variable_2 has never exceeded variable_5 at any time in the past ensuring that the robot has continuously operated within safe performance limits before variable_3 was activated.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
6/6,At all times the system shall ensure that whenever variable_3 is active the value of variable_6 shall not exceed variable_5. This requirement guarantees that the control unit of the autonomous vehicle always keeps variable_6 within safe operational limits whenever variable_3 is true.,H (variable_3 → (variable_6 ≤ variable_5)),H (variable_3 → (variable_6 ≤ variable_5)),True
7/7,Whenever variable_3 becomes true the system must guarantee that variable_2 has always been greater than or equal to variable_5 at all times in the past. In an automated inspection drone this would mean that if variable_3 indicates a stability check is triggered then variable_2 which tracks altitude must have consistently stayed above variable_5 which represents the minimum safe height throughout the previous flight segment.,(variable_3 → H(variable_2 ≥ variable_5)),(variable_3 → H(variable_2 ≥ variable_5)),True
8/8,The system shall ensure that ever since variable_1 became greater than variable_6 it has always been the case that whenever variable_3 is active the value of variable_2 does not exceed variable_5. For example in the autonomous drone control system variable_1 and variable_6 may represent altitude thresholds and variable_2 and variable_5 payload limits. This requirement guarantees that once the drone flies higher than the reference level the payload constraints linked to variable_3 are continuously respected.,H((variable_3 → (variable_2 ≤ variable_5)) S (variable_1 > variable_6)),H(((variable_3) -> (variable_2 <= variable_5)) S (variable_1 > variable_6)),True
9/9,Whenever variable_3 is active the system shall ensure that variable_2 has always remained less than or equal to variable_5 throughout all previous operation cycles. For example if variable_3 represents a robot entering precision mode then variable_2 must never have exceeded variable_5 during any earlier moment in that session.,(variable_3 → H(variable_2 ≤ variable_5)),H(variable_3 → H(variable_2 ≤ variable_5)),True
9/10,The system shall ensure that once variable_1 becomes greater than variable_2 the following condition has continuously held before that moment and may continue afterward that whenever variable_3 is active the value of variable_6 shall always be equal to variable_5.   For example this requirement can apply to a robot arm controller where variable_1 and variable_2 represent torque thresholds and variable_3 enforces that when the gripper is engaged the feedback signal variable_6 must always match the commanded position variable_5.,(variable_3 → (variable_6 = variable_5)) S (variable_1 > variable_2),H(((variable_1 > variable_2)) → H(variable_3 → (variable_6 = variable_5))),False
10/11,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 at all earlier times. For instance in an automated drone the activation of variable_3 might indicate an altitude hold mode and this requirement guarantees that the altitude rate variable_2 never exceeded the flight limit variable_5 throughout the previous flight history.,(variable_3 → H(variable_2 ≤ variable_5)),variable_3 → H(variable_2 ≤ variable_5),True
11/12,Whenever variable_3 is active the system must ensure that variable_1 has always been less than or equal to variable_5 in all past operating cycles. For instance in the flight control computer of an aircraft this means that if variable_3 indicates an emergency descent command the recorded data must confirm that variable_1 never exceeded variable_5 during the previous phase of flight.,(variable_3 → H(variable_1 ≤ variable_5)),variable_3 → H(variable_1 ≤ variable_5),True
12/13,Whenever variable_3 becomes true the system shall ensure that variable_2 has always been less than or equal to variable_5 at all times in the past ensuring consistent safe operation of the robot under changing load conditions.,(variable_3 → H(variable_2 ≤ variable_5)),H((variable_3) -> H(variable_2 <= variable_5)),True
12/14,Whenever variable_3 is active the system shall ensure that variable_2 has always remained less than or equal to variable_5 at all prior times. For instance; in an autonomous drone this means that if variable_3 indicates flight stabilization mode then the recorded value of variable_2 must never have exceeded variable_5 during any earlier part of the mission.,(variable_3 → H(variable_2 ≤ variable_5)),G(variable_3 → H(variable_2 ≤ variable_5)),False
