Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,The system shall ensure that patientSafe remains true at all times during operation.,(H patientSafe),H patientSafe,True
2/2,At all times; if FailSafeMode is active; then patientSafe must be true to ensure the patient remains protected whenever the system enters fail-safe operation.,(H (FailSafeMode -> patientSafe)),H(FailSafeMode → patientSafe),True
2/3,When the ventilator switches from a non‑ventilation state into either PCVMode or PSVMode the system shall ensure that the inspiratoryPauseButton and the inspiratoryPause signal behave consistently with the mode transition. Specifically whenever PCVMode or PSVMode becomes active after being inactive the inspiratoryPauseButton shall not be pressed until the mode change is complete and the inspiratoryPause function shall only become active if the inspiratoryPauseButton has been pressed after the mode transition. The system shall not allow any inspiratoryPause or inspiratoryPauseButton activity that appears to have started before the current PCVMode or PSVMode period. This requirement ensures that the ventilator does not carry over any inspiratory pause state from a previous mode and that all pause actions are initiated by a deliberate button press after entering PCVMode or PSVMode.,((H (((! (PCVMode | PSVMode)) & (Y (PCVMode | PSVMode))) -> (Y (((! inspiratoryPauseButton) S ((! inspiratoryPauseButton) & ((PCVMode | PSVMode) & (Z (! (PCVMode | PSVMode)))))) | (! ((! (inspiratoryPause | (! inspiratoryPauseButton))) S ((! (inspiratoryPause | (! inspiratoryPauseButton))) & (inspiratoryPauseButton & ((Y (! inspiratoryPauseButton)) | ((PCVMode | PSVMode) & (Z (! (PCVMode | PSVMode))))))))))))) & (((! ((! (PCVMode | PSVMode)) & (Y (PCVMode | PSVMode)))) S ((! ((! (PCVMode | PSVMode)) & (Y (PCVMode | PSVMode)))) & ((PCVMode | PSVMode) & (Z (! (PCVMode | PSVMode)))))) -> (((! inspiratoryPauseButton) S ((! inspiratoryPauseButton) & ((PCVMode | PSVMode) & (Z (! (PCVMode | PSVMode)))))) | (! ((! (inspiratoryPause | (! inspiratoryPauseButton))) S ((! (inspiratoryPause | (! inspiratoryPauseButton))) & (inspiratoryPauseButton & ((Y (! inspiratoryPauseButton)) | ((PCVMode | PSVMode) & (Z (! (PCVMode | PSVMode)))))))))))),H(((PCVMode ∧ ¬Y(PCVMode)) ∨ (PSVMode ∧ ¬Y(PSVMode))) → (¬O(inspiratoryPauseButton) ∧ (inspiratoryPause → O(inspiratoryPauseButton)))),False
2/4,When the aircraft enters SelfTestMode after previously being outside of it the system shall ensure that during the entire duration of SelfTestMode the testPowerSwitchPass testPowerSwitchFail or testPowerSwitchSkip signals are each activated at least once before SelfTestMode is exited. If SelfTestMode is active and later transitions to inactive the system shall not have any period within that SelfTestMode where none of testPowerSwitchPass testPowerSwitchFail or testPowerSwitchSkip occurred.,((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (! ((! ((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip)) S ((! ((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip)) & (SelfTestMode & (Z (! SelfTestMode))))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (! ((! ((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip)) S ((! ((testPowerSwitchPass | testPowerSwitchFail) | testPowerSwitchSkip)) & (SelfTestMode & (Z (! SelfTestMode)))))))),H( (Y(¬SelfTestMode) ∧ SelfTestMode) → ((SelfTestMode S (testPowerSwitchPass ∨ testPowerSwitchFail ∨ testPowerSwitchSkip)) S ¬SelfTestMode) ),False
3/5,At all times the medical ventilator shall ensure that whenever expiratoryState is active the inValveClose signal is true and the outValveOpen signal is true.,(H (expiratoryState -> (inValveClose & outValveOpen))),H (expiratoryState → (inValveClose ∧ outValveOpen)),True
4/6,At all times; whenever the system is operating in either StartUpMode or StandbyMode; the inValveClose signal shall be active and the outValveOpen signal shall be active.,(H ((StartUpMode | StandbyMode) -> (inValveClose & outValveOpen))),H(((StartUpMode ∨ StandbyMode) → (inValveClose ∧ outValveOpen))),True
4/7,When the aircraft control system enters SelfTestMode after previously being outside of it the system shall ensure that during this SelfTestMode period at least one of testOxygenSensorPass testOxygenSensorFail or testOxygenSensorSkip occurs before SelfTestMode is exited. In other words the oxygen sensor test must be completed in some form every time the system transitions into SelfTestMode and before it leaves that mode.,((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (! ((! ((testOxygenSensorPass | testOxygenSensorFail) | testOxygenSensorSkip)) S ((! ((testOxygenSensorPass | testOxygenSensorFail) | testOxygenSensorSkip)) & (SelfTestMode & (Z (! SelfTestMode))))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (! ((! ((testOxygenSensorPass | testOxygenSensorFail) | testOxygenSensorSkip)) S ((! ((testOxygenSensorPass | testOxygenSensorFail) | testOxygenSensorSkip)) & (SelfTestMode & (Z (! SelfTestMode)))))))),H( ((SelfTestMode ∧ ¬Y(SelfTestMode)) → (¬(¬SelfTestMode) S (testOxygenSensorPass ∨ testOxygenSensorFail ∨ testOxygenSensorSkip))) ),False
4/8,The system shall ensure that whenever user = operator; the function eraseLog is never activated at any time during operation.,(H ((user = operator) -> (! eraseLog))),H(user = operator → ¬O(eraseLog)),False
4/9,When the ventilator is operating in PCVMode or PSVMode and the inspiratoryPauseButton is pressed the system shall ensure that the inspiratoryPause is active and both inValveClose and outValveClose are engaged during the pause. The system shall only allow this condition to occur immediately after the inspiratoryPhaseEnd and only if the inspiratoryPauseButton was not pressed in the previous cycle. Once the inspiratoryPauseButton is released the system shall return to normal operation and shall not maintain the inspiratoryPause or valve closures. This behavior shall be consistent across all cycles whenever PCVMode or PSVMode is active.,((H (((! ((PCVMode | PSVMode) & inspiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & inspiratoryPauseButton))) -> (Y (((Y (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton))))))) -> ((inspiratoryPauseButton -> ((inspiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))) S (((Y (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton))))))) -> ((inspiratoryPauseButton -> ((inspiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))) & (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton))))))))) & (((! ((! ((PCVMode | PSVMode) & inspiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & inspiratoryPauseButton)))) S ((! ((! ((PCVMode | PSVMode) & inspiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & inspiratoryPauseButton)))) & (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))) -> (((Y (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton))))))) -> ((inspiratoryPauseButton -> ((inspiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))) S (((Y (inspiratoryPhaseEnd & ((Y (! inspiratoryPhaseEnd)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton))))))) -> ((inspiratoryPauseButton -> ((inspiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))) & (((PCVMode | PSVMode) & inspiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & inspiratoryPauseButton)))))))),H(((PCVMode ∨ PSVMode) ∧ inspiratoryPauseButton ∧ Y(¬inspiratoryPauseButton) ∧ Y(inspiratoryPhaseEnd)) → (inspiratoryPause ∧ inValveClose ∧ outValveClose)) ∧ H(((PCVMode ∨ PSVMode) ∧ ¬inspiratoryPauseButton) → (¬inspiratoryPause ∧ ¬inValveClose ∧ ¬outValveClose)),False
4/10,If at any time selfTestPassed becomes true after previously being false then the system shall immediately enter StandbyMode and begin both startMonitoring and startReportingHealthParams. If there has been no prior system history then this requirement does not apply. This ensures that the autonomous drone only starts monitoring and reporting health parameters once it has successfully completed its self test.,(H ((Y (selfTestPassed & (Z (! selfTestPassed)))) -> (((startMonitoring & startReportingHealthParams) & StandbyMode) | (! (Y TRUE))))),H(((selfTestPassed ∧ Y(¬selfTestPassed)) → (StandbyMode ∧ startMonitoring ∧ startReportingHealthParams))),False
