Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,Whenever the aircraft control system transitions from StartUpMode to normal operation; if in the previous cycle StartUpMode was active and now it is not; then the system shall verify that any condition where pressureSensorRetries is greater than or equal to 5 together with either pressureSensorConnFailure or pressureSensorError has been followed by activation of FailSafeMode or by a return to StartUpMode after leaving it. This requirement ensures that repeated pressure sensor connection failures or errors during or immediately after startup always lead the aircraft to enter FailSafeMode or to reinitiate StartUpMode rather than continuing normal operation.,((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode)))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) S (((Y (((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)) & ((Y (! ((pressureSensorRetries >= 5) & (pressureSensorConnFailure | pressureSensorError)))) | (StartUpMode & (Z (! StartUpMode)))))) -> (FailSafeMode | (StartUpMode & (Z (! StartUpMode))))) & (StartUpMode & (Z (! StartUpMode))))))),H(((Y(StartUpMode) & ¬StartUpMode) → ((O((pressureSensorRetries≥5 & (pressureSensorConnFailure | pressureSensorError)) S (FailSafeMode | StartUpMode)))))),False
1/2,The system shall ensure that patientSafe remains true at all times during operation.,(H patientSafe),H patientSafe,True
1/3,When the aircraft enters SelfTestMode after previously being outside of it the system shall ensure that during the entire duration of SelfTestMode at least one of testLeaksPass testLeaksFail or testLeaksSkip is recorded before SelfTestMode is exited. The system shall never remain in SelfTestMode without producing one of these test results. This requirement applies every time the aircraft transitions into and out of SelfTestMode.,((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (! ((! ((testLeaksPass | testLeaksFail) | testLeaksSkip)) S ((! ((testLeaksPass | testLeaksFail) | testLeaksSkip)) & (SelfTestMode & (Z (! SelfTestMode))))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (! ((! ((testLeaksPass | testLeaksFail) | testLeaksSkip)) S ((! ((testLeaksPass | testLeaksFail) | testLeaksSkip)) & (SelfTestMode & (Z (! SelfTestMode)))))))),H((SelfTestMode S (¬SelfTestMode ∧ O(SelfTestMode → O(testLeaksPass ∨ testLeaksFail ∨ testLeaksSkip))))),False
1/4,When the aircraft control computer exits SelfTestMode after having been in SelfTestMode in the previous cycle; it shall ensure that during the entire period of SelfTestMode there was no time when both selfTestPassed and selfTestFailed were false. In other words; while SelfTestMode is active; the system must always reach either selfTestPassed or selfTestFailed before leaving SelfTestMode. This condition shall hold for every occurrence of SelfTestMode throughout the operation of the aircraft control computer.,((H (((! SelfTestMode) & (Y SelfTestMode)) -> (Y (! ((! (selfTestPassed | selfTestFailed)) S ((! (selfTestPassed | selfTestFailed)) & (SelfTestMode & (Z (! SelfTestMode))))))))) & (((! ((! SelfTestMode) & (Y SelfTestMode))) S ((! ((! SelfTestMode) & (Y SelfTestMode))) & (SelfTestMode & (Z (! SelfTestMode))))) -> (! ((! (selfTestPassed | selfTestFailed)) S ((! (selfTestPassed | selfTestFailed)) & (SelfTestMode & (Z (! SelfTestMode)))))))),H((Y SelfTestMode ∧ ¬SelfTestMode) → H(SelfTestMode → O(selfTestPassed ∨ selfTestFailed))),False
2/5,The system shall ensure that patientSafe remains true at all times during operation.,(H patientSafe),H patientSafe,True
2/6,When the medical ventilator transitions from PCVMode to another mode the system shall ensure that if PSVModeSelected becomes active after previously being inactive or after PCVMode was active and then deactivated the ventilator shall either be in ventilating and PSVMode or shall still be in PCVMode immediately after leaving PCVMode. This behavior shall hold continuously throughout operation so that any change from PCVMode to PSVModeSelected maintains consistent ventilation and mode integrity without interruption.,((H (((! PCVMode) & (Y PCVMode)) -> (Y (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) S (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode)))))))) & (((! ((! PCVMode) & (Y PCVMode))) S ((! ((! PCVMode) & (Y PCVMode))) & (PCVMode & (Z (! PCVMode))))) -> (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) S (((Y (PSVModeSelected & ((Y (! PSVModeSelected)) | (PCVMode & (Z (! PCVMode)))))) -> ((ventilating & PSVMode) | (PCVMode & (Z (! PCVMode))))) & (PCVMode & (Z (! PCVMode))))))),H(((Y(PCVMode) & ¬PCVMode) & (¬Y(PSVModeSelected) & PSVModeSelected)) → ((ventilating & PSVMode) | Y(PCVMode))),False
3/7,Requirement:   In the ventilator control system; whenever an expiratoryPause occurs and it was previously not in expiratoryPause within the last 40 time units; the system shall ensure that either the expiratoryPause condition has always been inactive up to that point or that the inspiratoryPhaseStart signal does not occur while expiratoryPause is inactive. Furthermore; if after 41 time units from such an expiratoryPause transition the system detects that expiratoryPause was active following a period when it was inactive and that inspiratoryPhaseStart did not occur while expiratoryPause was inactive; then within the preceding 40 time units the system shall have either not recorded any valid prior state or shall have observed a transition where expiratoryPause was inactive and inspiratoryPhaseStart became active.,"((H ((O[0,40] (expiratoryPause & (Z (! expiratoryPause)))) -> ((H (! expiratoryPause)) | (! ((! expiratoryPause) & inspiratoryPhaseStart))))) & (H ((O[41,41] ((expiratoryPause & (Z (! expiratoryPause))) & (! ((! expiratoryPause) & inspiratoryPhaseStart)))) -> (O[0,40] ((! (Y TRUE)) | ((! expiratoryPause) & inspiratoryPhaseStart))))))",(expiratoryPause ∧ ¬O(Y(expiratoryPause))) → ((H(¬expiratoryPause)) ∨ H(¬(¬expiratoryPause ∧ inspiratoryPhaseStart))),True
3/8,When the ventilator is operating in PCVMode or PSVMode and the operator presses the expiratoryPauseButton the system shall initiate an expiratoryPause and ensure that both inValveClose and outValveClose are active for the duration of the pause. The expiratoryPauseButton shall only have this effect if it is pressed during the expiratory phase and after the previous expiratoryPhaseEnd has occurred. Once the expiratoryPauseButton is released the system shall terminate the expiratoryPause and restore normal valve operation. This behavior shall be consistent every time the ventilator is in PCVMode or PSVMode and the expiratoryPauseButton is used.,((H (((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton))) -> (Y (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) S (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))))) & (((! ((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton)))) S ((! ((! ((PCVMode | PSVMode) & expiratoryPauseButton)) & (Y ((PCVMode | PSVMode) & expiratoryPauseButton)))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) -> (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) S (((Y (expiratoryPhaseEnd & ((Y (! expiratoryPhaseEnd)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton))))))) -> ((expiratoryPauseButton -> ((expiratoryPause & inValveClose) & outValveClose)) | (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))) & (((PCVMode | PSVMode) & expiratoryPauseButton) & (Z (! ((PCVMode | PSVMode) & expiratoryPauseButton)))))))),H(((PCVMode ∨ PSVMode) ∧ expiratoryPhase ∧ O(expiratoryPhaseEnd) ∧ expiratoryPauseButton) → (expiratoryPause ∧ H((expiratoryPause) → (inValveClose ∧ outValveClose))) ∧ (Y(¬expiratoryPauseButton) → ¬expiratoryPause)),False
4/9,Whenever PCVMode is active the system shall ensure that inspiratoryTime equals 60 multiplied by the ratio of ItoE_PCV to the product of RR_PCV and one plus ItoE_PCV. This requirement applies continuously during operation of the medical ventilator control software.,(H (PCVMode -> (inspiratoryTime = (60 * (ItoE_PCV / (RR_PCV * (1 + ItoE_PCV))))))),H(PCVMode → inspiratoryTime = 60 * (ItoE_PCV / (RR_PCV * (1 + ItoE_PCV)))),True
5/10,Whenever the system is operating in PCVMode the ventilator shall ensure that the breathingCycleTime equals one divided by RR_PCV and that the ExpiratoryTime equals the breathingCycleTime divided by one plus ItoE_PCV.,(H (PCVMode -> ((breathingCycleTime = (1 / RR_PCV)) & (ExpiratoryTime = (breathingCycleTime / (1 + ItoE_PCV)))))),H(PCVMode → (breathingCycleTime = 1/RR_PCV ∧ ExpiratoryTime = breathingCycleTime/(1 + ItoE_PCV))),True
