Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,R1,(H (battery > 0)),H (battery > 0),True
1/1,R1.1,(H (chargePosition = x)),H (x = chargePosition),True
1/1,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/1,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/1,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/1,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) → (¬batteryFull S batteryFull)),False
0/1,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
1/1,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
1/1,R2.1,(H (initialPosition = y)),H (y = initialPosition),True
1/1,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
1/1,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/1,R2.2.2,(H (! (currentPosition != obstacle))),H (currentPosition ≠ obstacle),False
1/1,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/1,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
1/1,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
2/2,R1,(H (battery > 0)),H (battery > 0),True
2/2,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
2/2,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/2,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/2,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/2,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S (¬batteryFull)),False
0/2,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
2/2,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
2/2,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
2/2,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
2/2,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/2,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
2/2,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/2,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
2/2,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
3/3,R1,(H (battery > 0)),H (battery > 0),True
3/3,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
3/3,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/3,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/3,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/3,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S (¬batteryFull)),False
0/3,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
3/3,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
3/3,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
3/3,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
3/3,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/3,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
3/3,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/3,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
3/3,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
4/4,R1,(H (battery > 0)),H (battery > 0),True
4/4,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
4/4,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/4,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/4,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/4,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S (¬batteryFull)),False
0/4,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
4/4,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
4/4,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
4/4,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
4/4,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/4,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
4/4,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/4,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
4/4,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
5/5,R1,(H (battery > 0)),H (battery > 0),True
5/5,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
5/5,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/5,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/5,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/5,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S (¬batteryFull)),False
0/5,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
5/5,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
5/5,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
5/5,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
5/5,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/5,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
5/5,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/5,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
5/5,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
6/6,R1,(H (battery > 0)),H (battery > 0),True
6/6,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
6/6,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/6,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
0/6,R1.4,(H (((0.95 * battery) <= chargeNeeded_var) -> recharge)),H ((battery < chargeNeeded_var + 0.05 * chargeNeeded_var) → recharge),False
0/6,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H ((currentPosition = chargePosition) S (¬batteryFull)),False
0/6,R1.6,(H (battery = (pre_battery - ((1 / n) * length_plan)))),H ((pre_battery - battery) ≤ (1 / n)),False
6/6,R2,(H (! Obstacle_currentPosition)),H (¬Obstacle_currentPosition),True
6/6,R2.1,(H (initialPosition = y)),H (initialPosition = y),True
6/6,R2.2,(H (currentPosition = currentPhysicalPosition)),H (currentPhysicalPosition = currentPosition),True
6/6,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H (start = s0),True
0/6,R2.2.2,(H (! (currentPosition != obstacle))),H (¬(currentPosition = obstacle)),False
6/6,R2.6,(H (speed <= 10)),H (speed ≤ 10),True
0/6,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H (atGoal → removeGoalFromSet),False
6/6,R3.5,(H (atGoal -> (currentPosition = goal))),H (atGoal → (currentPosition = goal)),True
7/7,R1,(H (battery > 0)),H (battery > 0),True
7/7,R1.1,(H (chargePosition = x)),H (chargePosition = x),True
7/7,R1.2,(H (recharge -> (goal = chargePosition))),H (recharge → goal = chargePosition),True
0/7,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H (battery = pre_battery - (0.05 * pre_battery)),False
