Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,If at any time gasSupplyFailure has just occurred after previously not being present then the system shall ensure that patientSafe is true or that there was no earlier operational history before this point. This means that whenever a gas supply failure first happens the medical device must either keep the patient in a safe condition or it must be the very first recorded moment of operation.,(H ((Y (gasSupplyFailure & (Z (! gasSupplyFailure)))) -> (patientSafe | (! (Y TRUE))))),H(((¬Y(gasSupplyFailure)) ∧ gasSupplyFailure) → (patientSafe ∨ ¬O(true))),False
0/2,Whenever the system is operating in PSVMode the ventilator shall ensure that minExpiratoryTime is always between 0.4 and 2 seconds. In addition whenever the expiratoryPhase is active the ventilator shall set minExpiratoryTime equal to half of inspClock.,(H (PSVMode -> (((minExpiratoryTime >= 0.4) & (minExpiratoryTime <= 2)) & (expiratoryPhase -> (minExpiratoryTime = (inspClock / 2)))))),H((PSVMode → (minExpiratoryTime ≥ 0.4 ∧ minExpiratoryTime ≤ 2)) ∧ (expiratoryPhase → (minExpiratoryTime = inspClock / 2))),False
0/3,The system shall ensure that whenever StandbyMode is active; the ventilationOff condition is true; the inValveClose condition is true; and the outValveOpen condition is true at all times.,(H (StandbyMode -> ((ventilationOff & inValveClose) & outValveOpen))),H (StandbyMode → (ventilationOff ∧ inValveClose ∧ outValveOpen)),False
0/4,Whenever the system operates in PSVMode the parameter minExpiratoryTime shall always remain between 0.4 and 2 seconds. In addition whenever the ventilator enters the expiratoryPhase the value of minExpiratoryTime shall be equal to half of inspClock.,(H (PSVMode -> (((minExpiratoryTime >= 0.4) & (minExpiratoryTime <= 2)) & (expiratoryPhase -> (minExpiratoryTime = (inspClock / 2)))))),H((PSVMode → (minExpiratoryTime > 0.4 ∧ minExpiratoryTime < 2)) ∧ (expiratoryPhase → (minExpiratoryTime = inspClock / 2))),False
0/5,Whenever the aircraft control computer transitions from StartUpMode to normal operation the system shall ensure that defaultParamsLoaded becomes true before the next startup sequence begins. At no time during or after a startup sequence shall the system remain in a state where defaultParamsLoaded is false once StartUpMode has been exited. This requirement guarantees that every time the aircraft leaves StartUpMode the default parameters have been successfully loaded and remain valid until the next startup.,((H (((! StartUpMode) & (Y StartUpMode)) -> (Y (! ((! defaultParamsLoaded) S ((! defaultParamsLoaded) & (StartUpMode & (Z (! StartUpMode))))))))) & (((! ((! StartUpMode) & (Y StartUpMode))) S ((! ((! StartUpMode) & (Y StartUpMode))) & (StartUpMode & (Z (! StartUpMode))))) -> (! ((! defaultParamsLoaded) S ((! defaultParamsLoaded) & (StartUpMode & (Z (! StartUpMode)))))))),H((Y(StartUpMode) & ¬StartUpMode) → (O(defaultParamsLoaded) S ¬StartUpMode)),False
0/6,Whenever the ventilator switches from PSVMode to another mode the system shall check whether the patient’s breathingTime has exceeded apneaLagTime. If the patient has not initiated a breath within apneaLagTime the ventilator shall automatically switch to PCVMode using the apnea backup parameters RR = RR_AP P_insp = P_inspAP and IToE = IToE_AP. If the patient resumes spontaneous breathing the ventilator shall return to PSVMode. This behavior shall be consistent and repeatable for every transition between PSVMode and non‑PSVMode operation.,((H (((! PSVMode) & (Y PSVMode)) -> (Y (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) S (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))))) & (((! ((! PSVMode) & (Y PSVMode))) S ((! ((! PSVMode) & (Y PSVMode))) & (PSVMode & (Z (! PSVMode))))) -> (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) S (((Y ((breathingTime >= apneaLagTime) & ((Y (! (breathingTime >= apneaLagTime))) | (PSVMode & (Z (! PSVMode)))))) -> ((((PCVMode & (RR = RR_AP)) & (P_insp = P_inspAP)) & (IToE = IToE_AP)) | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode))))))),H(((PSVMode ∧ Y(¬PSVMode)) → ((breathingTime > apneaLagTime) → ((¬spontaneousBreathing S (PCVMode ∧ RR=RR_AP ∧ P_insp=P_inspAP ∧ IToE=IToE_AP)) ∧ ((spontaneousBreathing S PSVMode)))))),False
0/7,At all times in the past; the value of GBPS must have been less than or equal to 5.2.    Example engineering requirement:   The aircraft communication system shall ensure that GBPS has never exceeded 5.2 at any time during operation.,(H (GBPS <= 5.2)),H(GBPS <= 5.2),False
0/8,When the ventilator switches into PSVMode from any other mode the system shall ensure that if F11 becomes less than ExpiratoryTriggerSensitivity after this transition then an expirationPhaseStart shall occur or the system shall confirm that PSVMode has just been exited. This condition shall hold continuously while PSVMode remains active and shall be verified each time the mode changes.,((H (((! PSVMode) & (Y PSVMode)) -> (Y (((Y ((F11 < ExpiratoryTriggerSensitivity) & ((Y (! (F11 < ExpiratoryTriggerSensitivity))) | (PSVMode & (Z (! PSVMode)))))) -> (expirationPhaseStart | (PSVMode & (Z (! PSVMode))))) S (((Y ((F11 < ExpiratoryTriggerSensitivity) & ((Y (! (F11 < ExpiratoryTriggerSensitivity))) | (PSVMode & (Z (! PSVMode)))))) -> (expirationPhaseStart | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode)))))))) & (((! ((! PSVMode) & (Y PSVMode))) S ((! ((! PSVMode) & (Y PSVMode))) & (PSVMode & (Z (! PSVMode))))) -> (((Y ((F11 < ExpiratoryTriggerSensitivity) & ((Y (! (F11 < ExpiratoryTriggerSensitivity))) | (PSVMode & (Z (! PSVMode)))))) -> (expirationPhaseStart | (PSVMode & (Z (! PSVMode))))) S (((Y ((F11 < ExpiratoryTriggerSensitivity) & ((Y (! (F11 < ExpiratoryTriggerSensitivity))) | (PSVMode & (Z (! PSVMode)))))) -> (expirationPhaseStart | (PSVMode & (Z (! PSVMode))))) & (PSVMode & (Z (! PSVMode))))))),H( (Y(¬PSVMode) ∧ PSVMode) → H( (F11 < ExpiratoryTriggerSensitivity) → (expirationPhaseStart ∨ Y(¬PSVMode)) ) ),False
0/9,The ventilator shall not resumeVentilation until the self-test procedure has been completed successfully or explicitly skipped for all required checks. During SelfTestMode the device shall verify that testPowerSwitchPass or testPowerSwitchSkip testLeaksPass or testLeaksSkip testFL2Pass or testFL2Skip testPSExpPass or testPSExpSkip testOxygenSensorPass or testOxygenSensorSkip and testAlarmsPass or testAlarmsSkip have all been satisfied. Only after these conditions are met and selfTestPassed is true may resumeVentilation occur. If resumeVentilation was previously inactive it shall remain inactive until the self-test sequence has reached a valid completion state.,((H (! resumeVentilation)) | (! ((! ((SelfTestMode & ((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFL2Pass | testFL2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip))) -> selfTestPassed)) S ((! ((SelfTestMode & ((((((testPowerSwitchPass | testPowerSwitchSkip) & (testLeaksPass | testLeaksSkip)) & (testFL2Pass | testFL2Skip)) & (testPSExpPass | testPSExpSkip)) & (testOxygenSensorPass | testOxygenSensorSkip)) & (testAlarmsPass | testAlarmsSkip))) -> selfTestPassed)) & (resumeVentilation & (Z (! resumeVentilation))))))),H((¬resumeVentilation) S ((selfTestPassed ∧ (testPowerSwitchPass ∨ testPowerSwitchSkip) ∧ (testLeaksPass ∨ testLeaksSkip) ∧ (testFL2Pass ∨ testFL2Skip) ∧ (testPSExpPass ∨ testPSExpSkip) ∧ (testOxygenSensorPass ∨ testOxygenSensorSkip) ∧ (testAlarmsPass ∨ testAlarmsSkip)) ∨ (¬resumeVentilation))),False
0/10,The system shall ensure that whenever PCVMode is active; the value of P_insp shall always be equal to P_inspPCV at all times.,(H (PCVMode -> (P_insp = P_inspPCV))),H(PCVMode → (P_insp = P_inspPCV)),False
