Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,While Y(variable_4) has been active it must always have been true that whenever variable_3 was true the value of variable_2 did not exceed variable_5. For example on the factory floor this could mean that for as long as Y(variable_4) has been engaged the robot should ensure any time variable_3 indicates an arm in motion the load speed represented by variable_2 must stay at or below the safety limit defined by variable_5.,(variable_3 → (variable_2 ≤ variable_5)) S Y(variable_4),H( Y(variable_4) → H( variable_3 → (variable_2 ≤ variable_5) ) ),False
0/2,The system shall ensure that until the previous condition of variable_4 becomes true all operations shall satisfy the rule that whenever variable_3 is active the value of variable_2 shall always be greater than or equal to variable_5. For example in an autonomous drone this means that before the last confirmed signal of variable_4 the onboard controller must always maintain variable_2 at a level not lower than variable_5 whenever variable_3 is in effect.,(variable_3 → (variable_2 ≥ variable_5)) S (Y variable_4),H(((variable_3 -> (variable_2 >= variable_5)) S (¬Y variable_4))),False
1/3,Whenever variable_3 is active the system must ensure that variable_2 has always been greater than or equal to variable_5 throughout the entire preceding operation period. For instance in an autonomous drone this means that if variable_3 indicates flight stabilization mode then variable_2 which could represent altitude safety margin must have consistently remained above or equal to variable_5 which represents the minimum threshold value before stabilization was engaged.,(variable_3 → H(variable_2 ≥ variable_5)),(variable_3 → H(variable_2 ≥ variable_5)),True
2/4,The system shall always ensure that whenever variable_3 is active variable_2 does not exceed variable_6. This requirement guarantees that the equipment operates safely under all historical conditions; for example when an autonomous drone performs altitude adjustments under variable_3; the control signal variable_2 must remain within the limit set by variable_6 at every moment of operation.,H (variable_3 -> (variable_2 <= variable_6)),H (variable_3 → (variable_2 ≤ variable_6)),True
3/5,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 at all times in the past. For instance in an autonomous delivery robot this means it can only enter state variable_3 if its recorded variable_2 value has never exceeded variable_5 during previous operations.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
4/6,At all times the control system shall ensure that whenever variable_3 is active the value of variable_2 does not exceed variable_5. For example when the flight control software detects that variable_3 indicates the autopilot is engaged it must continuously maintain variable_2 less than or equal to variable_5 to guarantee stable operation.,H( variable_3 → (variable_2 ≤ variable_5) ),H ( variable_3 → (variable_2 ≤ variable_5) ),True
5/7,Whenever variable_3 becomes true the system must ensure that variable_2 has always remained less than or equal to variable_5 at all previous times during operation of the robot.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
6/8,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 at all times before this event. For example in an autonomous drone flight controller if variable_3 represents a stability check trigger then the controller must confirm that variable_2 which could be altitude deviation has consistently remained below or equal to variable_5 the allowed threshold prior to this trigger.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
7/9,Whenever variable_3 becomes true the system shall ensure that variable_2 has always remained less than or equal to variable_5 throughout the entire prior operation of the robot. This requirement guarantees that before variable_3 is activated the historical values of variable_2 never exceeded variable_5 ensuring safe performance within designated limits.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
7/10,As long as variable_4 was true at the previous moment the system must ensure that whenever variable_3 becomes active the value of variable_2 is greater than or equal to variable_5. This requirement governs the operation of the automated control unit so that it only allows the transition controlled by variable_3 to occur under that value condition once the prior state defined by variable_4 has taken place.,(variable_3 → (variable_2 ≥ variable_5)) S (Y variable_4),H( (Y variable_4) → (variable_3 → (variable_2 ≥ variable_5)) ),False
