Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 in all previous moments. For example in an autonomous drone this means that if variable_3 indicates a landing command then the recorded altitude variable_2 must never have exceeded the safety threshold variable_5 at any time before the command was issued.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
2/2,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a landing sequence then the recorded altitude variable_2 must have never exceeded the safety threshold variable_5 at any time before landing.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
3/3,The system shall always ensure that whenever variable_3 is active the value of variable_2 is greater than or equal to variable_5. For example in an autonomous drone this means that whenever variable_3 indicates that the drone is in flight mode the control software must guarantee that variable_2 which could represent altitude is never less than variable_5 which could represent the minimum safe altitude threshold.,H( variable_3 → (variable_2 ≥ variable_5) ),H (variable_3 -> (variable_2 >= variable_5)),True
4/4,Whenever variable_3 becomes true the system must ensure that variable_2 has always been greater than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a stability check event then the recorded altitude variable_2 must have consistently remained above the safety threshold variable_5 during all earlier flight moments.,(variable_3 -> H(variable_2 >= variable_5)),(variable_3 → H(variable_2 ≥ variable_5)),True
5/5,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a stability check event then the recorded altitude variable_2 must never have exceeded the safety threshold variable_5 at any time before that event.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
6/6,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a landing command then variable_2 which could represent descent speed must have never exceeded variable_5 which could represent the safe speed limit during all prior flight moments.,(variable_3 → H (variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
7/7,Whenever variable_3 becomes true the system must ensure that variable_6 has always been less than or equal to variable_5 at all previous times. For example in an autonomous drone this means that if variable_3 indicates a stability check is triggered then the recorded altitude variable_6 must never have exceeded the allowed altitude limit variable_5 during the entire flight history.,(variable_3 → H(variable_6 ≤ variable_5)),H((variable_3) → H(variable_6 ≤ variable_5)),True
8/8,Whenever variable_3 becomes true the system must ensure that variable_1 has always been less than or equal to variable_5 in all previous moments. For example in an autonomous drone this means that if variable_3 indicates a landing command then the recorded altitude variable_1 must never have exceeded the allowed threshold variable_5 during the entire flight history.,(variable_3 → H(variable_1 ≤ variable_5)),(variable_3 → H(variable_1 ≤ variable_5)),True
9/9,Whenever variable_3 becomes true the system must ensure that variable_2 remains greater than or equal to variable_5 continuously since the last moment when variable_6 was equal to variable_1. For example in an autonomous drone this means that if variable_3 indicates a stability check the altitude control variable_2 must have stayed above the safety threshold variable_5 from the time when the navigation reference variable_6 last matched the target coordinate variable_1.,(variable_3 → (variable_2 ≥ variable_5) S (variable_6 = variable_1)),H( variable_3 → ((variable_2 ≥ variable_5) S (variable_6 = variable_1)) ),True
10/10,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a landing sequence then the recorded altitude variable_2 must never have exceeded the safety threshold variable_5 at any time before landing.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
11/11,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation history. For example in an autonomous drone this means that if variable_3 indicates a landing sequence then the recorded altitude variable_2 must never have exceeded the permitted altitude limit variable_5 at any time before landing.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
12/12,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a stability check is triggered then the recorded altitude variable_2 must never have exceeded the allowed altitude limit variable_5 at any time before that check.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
13/13,The system shall ensure that ever since variable_6 became equal to variable_1 it has always been the case that whenever variable_3 is active the value of variable_2 does not exceed variable_5. For example in an autonomous drone this means that from the moment variable_6 matched variable_1 the control software must continuously guarantee that if variable_3 indicates a climb request then variable_2 which could represent altitude rate remains less than or equal to variable_5 which could represent the maximum allowed climb rate.,H((variable_3 → (variable_2 ≤ variable_5)) S (variable_6 = variable_1)),H(((variable_3) -> (variable_2 <= variable_5)) S (variable_6 = variable_1)),True
14/14,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a stability check is triggered then the recorded altitude variable_2 must never have exceeded the allowed altitude limit variable_5 at any time before that moment.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
15/15,Whenever variable_3 becomes true the system must ensure that variable_2 has always been greater than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a landing command then variable_2 which could represent altitude must have consistently remained above or equal to variable_5 which could represent the minimum safe altitude before the command was issued.,(variable_3 → H(variable_2 ≥ variable_5)),(variable_3 → H(variable_2 ≥ variable_5)),True
16/16,Whenever variable_3 becomes true the system must ensure that variable_2 has always been less than or equal to variable_5 throughout the entire previous operation period. For example in an autonomous drone this means that if variable_3 indicates a landing command then variable_2 which could represent descent speed must have never exceeded variable_5 which could represent the safe speed limit during all prior flight moments.,(variable_3 → H(variable_2 ≤ variable_5)),(variable_3 → H(variable_2 ≤ variable_5)),True
