Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
1/1,REQ005,(H ElectricSystemsHealthMonitoring),H (ElectricSystemsHealthMonitoring),True
1/1,REQ007,(O OverallSystemHealthMonitoring),H(OverallSystemHealthMonitoring),True
1/1,REQ050,(H ((((SatelliteShadowing | NoReceptionLoS) | SignalDiffraction) | MultipathEffects) -> PositioningAccuracy)),H((SatelliteShadowing | NoReceptionLoS | SignalDiffraction | MultipathEffects) → PositioningAccuracy),True
1/1,REQ057,(H (MonitoringEnabled -> ManageEnergySources)),H (MonitoringEnabled → ManageEnergySources),True
1/1,REQ063,(H (((AutonomousFlightMode -> (JetsonControl & JetsonControlDisplay)) & (RemoteControlFlightMode -> (NulceoControl & NucleoControlDisplay))) & (FailsafeFlightMode -> (NucleoControl & NucleoControlDisplay)))),H((AutonomousFlightMode → (JetsonControl & JetsonControlDisplay)) & (RemoteControlFlightMode → (NulceoControl & NucleoControlDisplay)) & (FailsafeFlightMode → (NucleoControl & NucleoControlDisplay))),True
1/1,REQ064,(H DisplayCurrentController),H(DisplayCurrentController),True
1/1,REQ065,(H (MonitoringEnabled -> ((MonitorBrushlessCurrent & MonitorESCCurrent) & MonitorServoMotorCurrent))),H (MonitoringEnabled → (MonitorBrushlessCurrent ∧ MonitorESCCurrent ∧ MonitorServoMotorCurrent)),True


Loaded 46 rows successfully.

 Iteration 1/1
  Processing rows 0 → 4
    ID REQ001: Generated ptLTL: (SimulationMode & SimulateFailureTransition) → O (JetsonFailureTransitionToNucleo | NucleoFailureSwitchActiveNucleo)   Reference ptLTL: (H (((JetsonFailureDetectionRunning & NucleoOneFailureDetectionRunning) & NucleoTwoFailureDetectionRunning) & RaspberryFailureDetectionRunning))
    ID REQ002: Generated ptLTL: H (JetsonFailureDetectionRunning & ActiveNucleoFailureDetectionRunning & RaspberryFailureDetectionRunning)   Reference ptLTL: (H (((JetsonFailureDetectionRunning & NucleoOneFailureDetectionRunning) & NucleoTwoFailureDetectionRunning) & RaspberryFailureDetectionRunning))
    ID REQ003: Generated ptLTL: (SimulationMode & SimulatePacketLoss) → H (PacketLossRate <= AcceptablePacketLoss)   Reference ptLTL: ((H (((! SimulationMode) & (Y SimulationMode)) -> (Y ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode)))))))) & (((! ((! SimulationMode) & (Y SimulationMode))) S ((! ((! SimulationMode) & (Y SimulationMode))) & (SimulationMode & (Z (! SimulationMode))))) -> ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) S ((((! SimulatePacketLoss) S ((! SimulatePacketLoss) & (SimulationMode & (Z (! SimulationMode))))) | (PacketLossRate <= AcceptablePacketLoss)) & (SimulationMode & (Z (! SimulationMode)))))))
    ID REQ004: Generated ptLTL: (ControlLoopFinish S (ControlLoopStartRaspberry & ((NucleoOneControl → SendNucleoOneControlMessage) & (NucleoTwoControl → SendNucleoTwoControlMessage))))   Reference ptLTL: (H (ControlLoopFinish -> ((H (! ControlLoopStart)) | (((Y TRUE) & (! (ControlLoopStart & (Z (! ControlLoopStart))))) & (Y (! ((! ((NucleoOneControl -> SendNucleoOneControlMessage) & (NucleoTwoControl -> SendNucleoTwoControlMessage))) S ((! ((NucleoOneControl -> SendNucleoOneControlMessage) & (NucleoTwoControl -> SendNucleoTwoControlMessage))) & (ControlLoopStart & (Z (! ControlLoopStart)))))))))))
    ID REQ005: Generated ptLTL: H (ElectricSystemsHealthMonitoring)   Reference ptLTL: (H ElectricSystemsHealthMonitoring)
  Processing rows 5 → 9
    ID REQ006: Generated ptLTL: H((SimulationMode | RealMode & ActiveNucleo) → (ServoMonitoring & BatteryMonitoring & AttitudeMonitoring))   Reference ptLTL: (H ((SimulationMode | RealMode) -> ((ServoMonitoring & BatteryMonitoring) & AttitudeMonitoring)))
    ID REQ007: Generated ptLTL: H(OverallSystemHealthMonitoring)   Reference ptLTL: (O OverallSystemHealthMonitoring)
    ID REQ008: Generated ptLTL: (SimulationDataSaved S SimulationMode)   Reference ptLTL: ((O (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))) -> ((((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) -> (O[0,9] (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) S ((((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) -> (O[0,9] (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))))
    ID REQ009: Generated ptLTL: (EvaluateControllerPerformance S (SimulationDataSaved & SimulationMode))   Reference ptLTL: ((O (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode))))))) -> (((! SimulationDataSaved) S ((! SimulationDataSaved) & (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))) | (! ((! EvaluateControllerPerformance) S ((! EvaluateControllerPerformance) & (SimulationDataSaved & ((Y (! SimulationDataSaved)) | (((! SimulationMode) & (Y SimulationMode)) & (Y (H (! ((! SimulationMode) & (Y SimulationMode)))))))))))))
