Summary,ID,ptLTL,Generated ptLTL,Equivalence Check
0/1,R1,(H (battery > 0)),H(Battery_Monitor > 0),False
0/1,R1.1,(H (chargePosition = x)),H(chargePosition = Y(chargePosition)),False
1/1,R1.2,(H (recharge -> (goal = chargePosition))),H(recharge → goal = chargePosition),True
0/1,R1.3,(H (battery = ((pre_battery - (1 / n)) - 0.05))),H(Battery_Monitor = pre_battery - 5),False
0/1,R1.4,(H (((0.95 * battery) <= chargeNeeded(plan)) -> recharge)),H((Battery_Monitor < chargeNeeded + 5) → recharge),False
0/1,R1.5,(H (((goal = chargePosition) & atGoal) -> batteryFull)),H((currentPosition = chargePosition) S (¬batteryFull)),False
0/1,R1.6,(H (battery = (pre_battery - ((1 / n) * length(plan))))),H((pre_battery - Battery_Monitor) ≤ (1/n)),False
0/1,R2,(H (! Obstacle(currentPosition))),H(¬obstacle(currentPosition)),False
0/1,R2.1,(H (initialPosition = y)),H(initialPosition = Y(initialPosition)),False
1/1,R2.2,(H (currentPosition = currentPhysicalPosition)),H(currentPhysicalPosition = currentPosition),True
1/1,R2.2.1,(H ((! (Y TRUE)) -> (start = s0))),H(start = s0),True
0/1,R2.2.2,(H (! (currentPosition != obstacle))),H(¬obstacle(currentPosition)),False
1/1,R2.6,(H (speed <= 10)),H(speed ≤ 10),True
0/1,R3.2,"((H ((O[0,1] (atGoal & (Z (! atGoal)))) -> ((H (! atGoal)) | (! removeGoalFromSet)))) & (H ((O[2,2] ((atGoal & (Z (! atGoal))) & (! removeGoalFromSet))) -> (O[0,1] ((! (Y TRUE)) | removeGoalFromSet)))))",H(atGoal → removeGoalFromSet),False
1/1,R3.5,(H (atGoal -> (currentPosition = goal))),H(atGoal → (currentPosition = goal)),True
